                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.67136,                  0.345,                0.94698,                0.98113,                0.97293,                0.98692,                 0.8009,                0.86531,                0.36783,                 1.0271,              0.0087526,              0.0087526,              0.0087526
                    129,                0.66486,                0.34839,                0.94276,                0.97944,                0.97658,                 0.9883,                0.80048,                0.88357,                 0.3645,                  1.031,              0.0087427,              0.0087427,              0.0087427
                    130,                0.67517,                0.34774,                0.94967,                0.98393,                0.98028,                0.98599,                0.79457,                0.89437,                 0.3682,                 1.0274,              0.0087328,              0.0087328,              0.0087328
                    131,                0.67427,                 0.3497,                0.94556,                0.97129,                0.95699,                  0.967,                0.77674,                 0.8792,                 0.4029,                 1.0283,              0.0087229,              0.0087229,              0.0087229
                    132,                0.67587,                0.35289,                 0.9464,                0.96823,                0.97458,                0.97786,                0.79382,                 0.8781,                0.37757,                 1.0236,               0.008713,               0.008713,               0.008713
                    133,                0.68228,                0.34481,                 0.9515,                 0.9814,                0.98497,                0.98615,                0.80504,                0.86884,                0.34818,                 1.0208,              0.0087031,              0.0087031,              0.0087031
                    134,                0.66932,                 0.3443,                0.94683,                0.98636,                0.98022,                0.98526,                0.80146,                0.85855,                0.35681,                 1.0155,              0.0086932,              0.0086932,              0.0086932
                    135,                0.66982,                 0.3483,                 0.9494,                0.98917,                0.98433,                0.98671,                0.80378,                0.85721,                0.34057,                  1.016,              0.0086833,              0.0086833,              0.0086833
                    136,                0.66544,                0.34538,                0.94449,                0.97372,                0.96316,                0.98665,                0.79723,                0.88181,                0.38562,                 1.0311,              0.0086734,              0.0086734,              0.0086734
                    137,                0.66015,                0.34115,                0.94362,                0.98253,                 0.9762,                0.98618,                0.79429,                0.87295,                0.35776,                 1.0298,              0.0086635,              0.0086635,              0.0086635
                    138,                0.65596,                0.34587,                0.94679,                0.97425,                0.95101,                0.97999,                0.78782,                0.89791,                0.40498,                 1.0368,              0.0086536,              0.0086536,              0.0086536
                    139,                0.66035,                0.34972,                0.93963,                 0.9852,                0.97842,                0.98767,                0.79783,                0.86598,                0.35595,                 1.0297,              0.0086437,              0.0086437,              0.0086437
                    140,                0.65975,                0.34159,                0.94265,                0.98189,                0.97089,                 0.9861,                0.80091,                0.86861,                0.35982,                 1.0273,              0.0086338,              0.0086338,              0.0086338
                    141,                0.65698,                0.33704,                0.94339,                 0.9792,                0.97414,                0.98642,                0.80266,                0.87257,                0.36319,                 1.0291,              0.0086239,              0.0086239,              0.0086239
                    142,                0.65777,                0.33278,                0.94713,                0.98151,                0.97793,                0.98446,                0.79589,                0.86733,                0.36324,                 1.0276,               0.008614,               0.008614,               0.008614
                    143,                0.65529,                 0.3349,                0.93746,                0.98324,                0.98087,                0.98553,                0.79818,                0.86298,                0.35088,                 1.0246,              0.0086041,              0.0086041,              0.0086041
                    144,                0.65612,                0.33826,                0.94153,                0.97142,                0.97016,                0.98253,                0.78981,                0.88715,                0.38662,                 1.0396,              0.0085942,              0.0085942,              0.0085942
                    145,                0.65109,                0.33133,                0.94079,                0.98567,                0.98056,                0.98618,                0.79759,                0.87342,                0.35333,                 1.0325,              0.0085843,              0.0085843,              0.0085843
                    146,                0.64659,                0.33014,                0.94116,                0.98436,                0.97839,                0.98549,                 0.7994,                0.87469,                0.36156,                 1.0285,              0.0085744,              0.0085744,              0.0085744
                    147,                0.64935,                0.33458,                 0.9391,                0.97761,                0.96786,                0.98064,                0.79313,                0.86239,                0.37248,                 1.0224,              0.0085645,              0.0085645,              0.0085645
                    148,                0.65191,                0.33226,                0.93934,                0.98714,                0.98343,                0.98837,                0.80433,                0.85958,                0.34403,                  1.018,              0.0085546,              0.0085546,              0.0085546
                    149,                0.64996,                0.33066,                0.94354,                0.98077,                0.96326,                0.98512,                0.80133,                 0.8639,                0.36699,                 1.0189,              0.0085447,              0.0085447,              0.0085447
                    150,                 0.6501,                0.33563,                0.94257,                0.98619,                0.97635,                0.98585,                0.80174,                0.87296,                0.35724,                 1.0242,              0.0085348,              0.0085348,              0.0085348
                    151,                0.64744,                0.33311,                 0.9417,                0.99019,                0.98173,                0.98636,                0.79886,                0.86719,                0.34326,                 1.0211,              0.0085249,              0.0085249,              0.0085249
